﻿viha,pelko,inho,onnellisuus,suru,yllätys,neutral,ahdistus,rakkaus,masennus,halveksunta,ylpeys,häpeä,mustasukkaisuus,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,X,,,kunnioitus,,,,,,kunnioittaa,,,,,kunniottaa,,,,,,,,,
,,,,,,,,X,,,,,,läheisyys,,,,,,lähentyä,,,,,,,,,,,,,,
,,,,,,X,,,,,,,,laiskuus,laiska,,,,,laiskotella,laiskottaa,,,,,,,,,,,,,
,,,,,,,,X,,,,,,lämmin,lämpimyys,,,,,lämmitä,lämmittää,,,,lämmetä,,,,,,,,,
,,,,,,,,X,,,,,,lämpö,,,,,,,,,,,,,,,,,,,,
,,,,,,,,X,,,,,,lempeys,,,,,,lempiä,lempeillä,,,,lempeä,,,,,,,,,
,,,,,,X,,,,,,,,levollinen,levollisuus,,,,,levätä,,,,,levähtää,,,,,,,,,
,,,,,,,X,,,,,,,levottomuus,levoton,,,,,,,,,,levottomuudentunne,,,,,,,,,
,,,,,,,,,X,,,,,masennus,masentuneisuus,masentunut,masentava,,,masentua,masentaa,,,,masennustila,,,,,,,,,
,,,,X,,,,,,,,,,murhe,murheellinen,,,,,murheilla,,,,,murheellisuus,murheinen,,,,,,,,
,,,,X,,,,,,,,,,murjottava,murjotus,,,,,murjottaa,murjotuttaa,murjotella,,,murjottelu,murjottelua,,,,,,,,
,,,,,,,,,,,,,X,mustasukkaisuus,mustasukkainen,,,,,,,,,,mustasukkaisuudentunto,mustasukkaisuuskohtaus,mustasukkaisuuspuuska,mustasukkaisuudenpuuska,mustasukkanen,,,,,
,,,,,,,,X,,,,,,myötätunto,myötätuntoinen,,,,,,,,,,myötätuntoisuus,,,,,,,,,
,,,X,,,,,,,,,,,nauru,,,,,,nauraa,naurattaa,naureskella,,,naurunhekotus,naurunhihitys,naurunhohotus,naurunhörähdys,naurunkohtaus,naurunremahdus,,,,
,,,X,,,,,,,,,,,nautinto,nautiskeleva,,,,,nauttia,nautiskella,,,,nautinta,nautiskelu,nautinnollinen,nautinnonhetki,,,,,,
,,,,,,,X,,,,,,,odotus,odottava,odottavainen,,,,odottaa,odotella,odotuttaa,,,,,,,,,,,,
,,,X,,,,,,,,,,,onnellisuus,onni,onnellinen,,,,,,,,,onnentunne,,,,,,,,,
,,,,,,,,,X,,,,,onneton,onnettomuus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,X,,,onnistuminen,onnistuneisuus,,,,,onnistua,onnistaa,,,,,,,,,,,,,
,,,,,,,,,X,,,,,onttous,ontto,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,pelko,pelokas,pelokkuus,pelottava,,,pelätä,pelästyä,pelottaa,pelotella,,peljätä,peljästyä,pelkotila,pelkuruus,pelontunne,pelonsekainen,pelonalainen,pelottavuus,,
,,,,,,,,,X,,,,,pettymys,pettynyt,pettyminen,,,,pettyä,pettää,,,,pettyneisyys,,,,,,,,,
,,,X,,,,,,,,,,,pirteys,pirteys,,,,,,,,,,pirteä,,,,,,,,,
,,,X,,,,,,,,,,,positiivisuus,positiivinen,,,,,,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,raivo,,,,,,raivota,raivostua,raivostuttaa,,,raivoissaan,raivotila,raivokohtaus,raivonpuuska,raivonpurkaus,,,,,
,,,,,,,,X,,,,,,rakkaus,rakastunut,rakastuminen,rakastava,,,rakastaa,rakastua,,,,rakkaudentila,rakkaudentunne,rakkaudentuntemus,rakkauskokemus,,,,,,
,,,,,,X,,,,,,,,rauhallisuus,rauha,rauhallinen,,,,rauhoittua,rauhoittaa,,,,rauhaisa,rauhainen,rauhottaa,rauhantunne,,,,,,
,,,,,,,X,,,,,,,rauhattomuus,rauhaton,,,,,,,,,,rauhattomuustila,,,,,,,,,
,,,,,,,,,,,X,,,rehellisyys,,,,,,,,,,,rehellinen,,,,,,,,,
,,,X,,,,,,,,,,,riemu,riemullisuus,riemastunut,riemukas,,,riemuita,riemastuttaa,riemastua,,,riemullinen,riemukkaasti,riemastus,riemuissaan,riemukkuus,riemunpurkaus,,,,
X,,,,,,,,,,,,,,riidanhaluisuus,riitaisuus,riitainen,,,,riidellä,riitautua,,,,riidanhaluinen,riitaantua,riitely,,,,,,,
,,,,,,,,,,,X,,,rohkeus,rohkea,rohkeamielisyys,,,,,,,,,,,,,,,,,,
,,,,X,,,,,,,,,,sääli,säälivä,,,,,sääliä,säälittää,,,,säälintunne,sääliväinen,,,,,,,,
,,,,X,,,,,,,,,,suru,surullinen,surullisuus,,,,surra,surettaa,,,,suruinen,surumielinen,surumielisyys,,,,,,,
X,,,,,,,,,,,,,,suuttumus,suuttuminen,suuttunut,suuttuneisuus,,,suuttua,suututtaa,suutahtaa,,,suutuksissa,suutuspäissään,,,,,,,,
,,,,,,,,X,,,,,,sympatia,sympaattinen,,,,,,,,,,sympaattisuus,,,,,,,,,
,,,,,,,,,,,,X,,syyllisyys,,,,,,syyllistää,,,,,,,,,,,,,,
,,,,,,X,,,,,,,,tasapainoisuus,tasapaino,,,,,tasapainoilla,tasapainottaa,,,,tasapainoinen,tasapainoilu,tasapainonen,,,,,,,
,,,X,,,,,,,,,,,toiveikkuus,toiveikas,toive,,,,toivoa,,,,,toivehikkuus,toivo,toivoikas,,,,,,,
,,,,,,,,,X,,,,,toivottomuus,toivoton,,,,,,,,,,toivotonna,,,,,,,,,
X,,,,,,,,,,,,,,turhautuneisuus,turhautuminen,turhautunut,turhauma,,,turhautua,turhauttaa,,,,turhautuma,turhautumatilanne,,,,,,,,
,,,,,,X,,,X,,,,,turta,turtunut,turtumus,,,,turtua,turruttaa,,,,turtumustila,,,,,,,,,
,,,,,,X,,,,,,,,turvallisuus,turvallinen,,,,,turvautua,turvata,,,,turvaisa,turvallisuudentunne,turvallisuusolo,turvallisuudentuntu,,,,,,
,,,,,,,,,X,,,,,tuska,tuskaisuus,tuskastunut,,,,tuskastua,tuskailla,tuskastuttaa,,,tuskaantua,tuskainen,tuskallisuus,tuskanhetki,tuskantila,tuskantunto,tuskatila,tuskautua,,
,,,,,,,,,X,,,,,tyhjyys,tyhjä,,,,,tyhjentää,,,,,tyhjätuntuinen,,,,,,,,,
,,,,,,X,,,,,,,,tyyneys,tyyni,,,,,tyyntyä,tyynnyttää,,,,,,,,,,,,,
,,,,X,,,,,,,,,,tyytymätön,tyytymättömyys,,,,,,,,,,,,,,,,,,,
,,,X,,,,,,,,,,,tyytyväisyys,tyytyväinen,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,ujous,ujo,,,,,ujostella,ujostuttaa,ujostua,,,ujottaa,ujoudenpuuska,ujouskohtaus,,,,,,,
,,,,,,,,,,X,,,,välinpitämättömyys,välinpitämätön ,,,,,,,,,,,,,,,,,,,
,,,,,,,,X,,,,,,välittäminen,välittää,,,,,,,,,,,,,,,,,,,
,,,,,,X,,,,,,,,vapaus,vapauden tunne,vapaa,,,,vapautua,vapauttaa,,,,vapaudenhuuma,vapaudentunto,vapaudentuntu,vapaudentunne,vapaushuuma,vapautuneisuus,,,,
X,,,,,,,,,,,,,,viha,vihaisuus,vihainen,vihastuminen,,,vihata,vihastua,vihastuttaa,,,vihaisa,vihanpurkaus,vihanpuuska,vihantunne,vihantäyttämä,vihanvimma,vihapäissään,,,
,,,,,,X,,,,,,,,viileys,viileä,,,,,viilentyä,viiletä,,,,,,,,,,,,,
,X,,,,,,,,,,,,,voimaton,voimattomuus,,,,,,,,,,voimattomana,voimattomuudentunne,,,,,,,,
,,,,,,,,,X,,,,,yksinäisyys,yksinäinen,yksin,,,,,,,,,yksinäiyydentunne,,,,,,,,,
,,,,,X,,,,,,,,,yllättyneisyys,yllättynyt,,,,,yllättyä,yllättää,,,,yllättyneisyys,,,,,,,,,
,,,,,,,,,,,X,,,ylpeys,ylpeä,,,,,ylpeillä,ylvistellä,,,,ylpeydentunne,ylpeily,ylvästely,ylvästellä,ylpee,ylpedentunto,ylpeys,,,
,,,,,,,,X,,,,,,ystävällisyys,,,,,,,,,,,,,,,,,,,,
